story,index,caption_text,caption_bg,caption_opacity,note_text,note_bg,note_opacity,note_x,note_y
1,0,"Balbuena (L1) → Hospital General (L3): ruta de salud. Pantitlán, la terminal más cercana, no tiene accesibilidad — hay que salir del sistema para llegar hasta aquí.",#faf9f6,0.92,,#faf9f6,0.92
1,1,Moctezuma — ✓ Accesible. Elevador y escalera eléctrica.,#faf9f6,0.92,,#faf9f6,0.92
1,2,San Lázaro — sin accesibilidad. Transbordo con L1 y LB.,#faf9f6,0.92,,#faf9f6,0.92
1,3,Candelaria — sin accesibilidad. Transbordo a L4.,#faf9f6,0.92,Hola3,#faf9f6,0.92
1,4,Pino Suárez — ✓ Accesible. Transbordo a L2.,#faf9f6,0.92,,#faf9f6,0.92
1,5,Salto del Agua — ✓ Accesible. Transbordo a L8.,#faf9f6,0.92,,#faf9f6,0.92
1,6,Balderas (L1) — ✓ Accesible. Transbordo a L3.,#faf9f6,0.92,,#faf9f6,0.92
1,7,Balderas (L3) — ✓ Accesible. Continuando hacia el sur en Línea 3.,#faf9f6,0.92,,#faf9f6,0.92
1,8,Niños Héroes — sin accesibilidad. A una estación del destino.,#faf9f6,0.92,,#faf9f6,0.92
1,9,Hospital General — ✓ Destino accesible. Elevador y escalera eléctrica.,#faf9f6,0.92,,#faf9f6,0.92
2,0,Cuatro Caminos (L2) → Copilco (L3): ruta escolar. La UNAM no tiene estación accesible — hay que salir del sistema para llegar.,#faf9f6,0.92,,#faf9f6,0.92
2,1,Panteones — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,2,Tacuba — transbordo a L7. Sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,3,Cuitláhuac — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,4,Popotla — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,5,Colegio Militar — sin accesibilidad.,#faf9f6,0.92,Hola4,#faf9f6,0.92
2,6,Normal — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,7,San Cosme — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,8,Revolución — ✓ Accesible. Una isla en una línea de 24 estaciones.,#faf9f6,0.92,,#faf9f6,0.92
2,9,Hidalgo (L2) — transbordo a L3. Sin accesibilidad en ningún andén.,#faf9f6,0.92,,#faf9f6,0.92
2,10,Hidalgo (L3) — continúa hacia el sur. Sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,11,Juárez — ✓ Accesible. Elevador y escalera eléctrica.,#faf9f6,0.92,,#faf9f6,0.92
2,12,Balderas — ✓ Accesible. Transbordo a L1.,#faf9f6,0.92,,#faf9f6,0.92
2,13,Niños Héroes — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,14,Hospital General — ✓ Accesible. Elevador y escalera eléctrica.,#faf9f6,0.92,,#faf9f6,0.92
2,15,Centro Médico — ✓ Accesible. Transbordo a L9.,#faf9f6,0.92,,#faf9f6,0.92
2,16,Etiopía — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,17,Eugenia — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,18,División del Norte — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,19,Zapata — sin accesibilidad en este andén. Transbordo a L12.,#faf9f6,0.92,,#faf9f6,0.92
2,20,Coyoacán — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,21,Viveros — sin accesibilidad.,#faf9f6,0.92,,#faf9f6,0.92
2,22,Copilco — ✓ Destino accesible. Última estación antes de la UNAM; aún hay que caminar fuera del sistema.,#faf9f6,0.92,,#faf9f6,0.92
3,0,Constitución de 1917 (L8) no es accesible. La persona debe trasladarse fuera del sistema a Periférico Oriente (L12).,#faf9f6,0.92,,#faf9f6,0.92
3,1,,#faf9f6,0.92,"<strong>Constitución de 1917</strong>, segunda estación con mayor afluencia del sistema. Si bien cuenta con elevador, este no conecta con la calle, por lo que una persona con discapacidad motriz no puede ingresar.",#faf9f6,0.92
3,2,,#faf9f6,0.92,"Por esa razón, es necesario que la persona con discapacidad se traslade hasta la estación Periférico Oriente, Línea 12.",#faf9f6,0.92
3,3,,#faf9f6,0.92,Hola,#faf9f6,0.92
3,4,Calle 11 — ✓ Accesible.,#faf9f6,0.92,Hola2,#faf9f6,0.92
3,5,Mixcoac (L12) — ✓ Accesible. Final de la zona accesible. Transbordo a L7.,#faf9f6,0.92,,#faf9f6,0.92
3,6,,#faf9f6,0.92,"El recorrido avanza con relativa accesibilidad por la Línea 12. Pero al transbordar a la Línea 7, las condiciones cambian drásticamente.",#faf9f6,0.92
3,7,Tacubaya (L7→L1) — sin accesibilidad en el andén de L7. Transbordo a L1.,#faf9f6,0.92,,#faf9f6,0.92
3,8,Sevilla (L1) — ✓ Accesible. El destino accesible más cercano a Polanco. Desde aquí hay que trasladarse fuera del sistema metro para llegar al destino final.,#faf9f6,0.92,,#faf9f6,0.92
3,9,,#faf9f6,0.92,"Aunque el destino es Polanco, esta estación no cuenta con accesibilidad. La salida debe realizarse en Sevilla, la estación accesible más cercana, y completar el resto del trayecto fuera del sistema.",#faf9f6,0.92
3,10,,#faf9f6,0.92,,#faf9f6,0.92
